Product_ID,Sale_month,Profit_per_month,Total_monthly_quantity,Avg_monthly_profit_margin,weight_monthly_profit_margin,Previous_month_profit,Profitchange_MtM
1001,2023-02-01,9393.3,27,27.034,37.049,,
1001,2023-04-01,5871.51,27,11.591,15.239,9393.3,-3521.79
1001,2023-05-01,44919.77,97,19.847,12.584,5871.51,39048.26
1001,2023-08-01,9005.36,44,6.246,7.774,44919.77,-35914.41
1001,2023-09-01,17643.99,39,15.656,18.562,9005.36,8638.63
1001,2023-10-01,19744.95,51,12.474,13.745,17643.99,2100.96
1001,2023-11-01,1125.28,44,2.086,2.112,19744.95,-18619.67
1001,2023-12-01,14196.15,45,18.691,22.987,1125.28,13070.87
1002,2023-01-01,2358.07,17,7.434,8.031,,
1002,2023-02-01,1267.5,26,8.741,9.579,2358.07,-1090.57
1002,2023-04-01,1572.99,30,3.413,2.676,1267.5,305.49
1002,2023-05-01,19353.57,87,9.649,10.586,1572.99,17780.58
1002,2023-06-01,8258.58,18,79.594,390.045,19353.57,-11094.99
1002,2023-07-01,4689.09,21,5.119,5.396,8258.58,-3569.49
1002,2023-08-01,5141.76,16,10.062,11.188,4689.09,452.67
1002,2023-10-01,19132.86,69,15.282,10.714,5141.76,13991.1
1002,2023-11-01,7039.92,24,8.15,8.873,19132.86,-12092.94
1003,2023-01-01,897.54,3,14.306,16.695,,
1003,2023-02-01,11420.55,45,4.855,5.102,897.54,10523.01
1003,2023-04-01,6219.18,27,26.983,36.954,11420.55,-5201.37
1003,2023-05-01,16266.64,65,21.34,16.103,6219.18,10047.46
1003,2023-07-01,3545.55,20,9.487,9.59,16266.64,-12721.09
1003,2023-09-01,4024.78,37,2.819,2.832,3545.55,479.23
1003,2023-11-01,1710.28,11,4.026,4.194,4024.78,-2314.5
1003,2023-12-01,7197.45,47,21.745,5.435,1710.28,5487.17
1004,2023-03-01,5826.12,12,9.636,10.663,,
1004,2023-05-01,16241.4,36,10.179,11.332,5826.12,10415.28
1004,2023-06-01,24282.8,92,5.821,7.453,16241.4,8041.4
1004,2023-07-01,14810.34,51,12.05,15.293,24282.8,-9472.46
1004,2023-09-01,12571.2,27,9.659,10.692,14810.34,-2239.14
1004,2023-11-01,28.19,1,13.349,15.405,12571.2,-12543.01
1004,2023-12-01,483.56,11,0.9,0.908,28.19,455.37
1005,2023-03-01,13955.18,38,44.473,42.373,,
1005,2023-04-01,15399.42,46,6.661,7.136,13955.18,1444.24
1005,2023-05-01,112.78,2,3.893,4.051,15399.42,-15286.64
1005,2023-08-01,9294.18,21,9.184,10.113,112.78,9181.4
1005,2023-09-01,2771.94,15,35.485,6.392,9294.18,-6522.24
1005,2023-11-01,16084.63,71,10.941,10.568,2771.94,13312.69
1005,2023-12-01,762.44,28,1.253,1.269,16084.63,-15322.19
1006,2023-01-01,1522.79,29,1.192,1.206,,
1006,2023-04-01,4873.31,19,7.968,8.658,1522.79,3350.52
1006,2023-05-01,3988.49,11,7.362,7.947,4873.31,-884.82
1006,2023-06-01,10323.6,21,22.415,28.89,3988.49,6335.11
1006,2023-09-01,28700.26,108,9.286,10.419,10323.6,18376.66
1006,2023-11-01,5822.3,22,24.082,31.72,28700.26,-22877.96
1007,2023-01-01,1236.3,13,2.463,2.526,,
1007,2023-02-01,25662.61,77,11.619,10.878,1236.3,24426.31
1007,2023-03-01,6908.31,15,16.92,37.849,25662.61,-18754.3
1007,2023-04-01,6170.06,13,11.656,13.194,6908.31,-738.25
1007,2023-06-01,1684.71,9,11.216,12.633,6170.06,-4485.35
1007,2023-08-01,5164.64,16,6.967,7.489,1684.71,3479.93
1008,2023-01-01,16727.98,38,8.673,9.497,,
